,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
0,ACURA,ILX,COMPACT,2.0,4,AS5,Premium Gasoline,9.9,6.7,8.5,33,196
1,ACURA,ILX,COMPACT,2.4,4,M6,Premium Gasoline,11.2,7.7,9.6,29,221
2,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Premium Gasoline,6.0,5.8,5.9,48,136
3,ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Premium Gasoline,12.7,9.1,11.1,25,255
4,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Premium Gasoline,12.1,8.7,10.6,27,244
5,ACURA,RLX,MID-SIZE,3.5,6,AS6,Premium Gasoline,11.9,7.7,10.0,28,230
6,ACURA,TL,MID-SIZE,3.5,6,AS6,Premium Gasoline,11.8,8.1,10.1,28,232
7,ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Premium Gasoline,12.8,9.0,11.1,25,255
8,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Premium Gasoline,13.4,9.5,11.6,24,267
9,ACURA,TSX,COMPACT,2.4,4,AS5,Premium Gasoline,10.6,7.5,9.2,31,212
10,ACURA,TSX,COMPACT,2.4,4,M6,Premium Gasoline,11.2,8.1,9.8,29,225
11,ACURA,TSX,COMPACT,3.5,6,AS5,Premium Gasoline,12.1,8.3,10.4,27,239
12,ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Premium Gasoline,9.7,6.9,8.4,34,193
13,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Premium Gasoline,18.0,12.6,15.6,18,359
14,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Premium Gasoline,18.0,12.6,15.6,18,359
15,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Premium Gasoline,17.4,11.3,14.7,19,338
16,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Premium Gasoline,18.1,12.2,15.4,18,354
17,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Premium Gasoline,17.4,11.3,14.7,19,338
18,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Premium Gasoline,18.1,12.2,15.4,18,354
19,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Premium Gasoline,18.0,12.6,15.6,18,359
20,AUDI,A4,COMPACT,2.0,4,AV8,Premium Gasoline,9.9,7.4,8.8,32,202
21,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Premium Gasoline,11.5,8.1,10.0,28,230
22,AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Premium Gasoline,10.8,7.5,9.3,30,214
23,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Premium Gasoline,11.5,8.1,10.0,28,230
24,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Premium Gasoline,11.5,8.1,10.0,28,230
25,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Premium Gasoline,10.8,7.5,9.3,30,214
26,AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Premium Gasoline,12.0,8.1,10.2,28,235
27,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Premium Gasoline,12.8,8.6,10.9,26,251
28,AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,Diesel,9.8,6.2,8.1,35,217
29,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Premium Gasoline,13.3,8.5,11.2,25,262
30,AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,Diesel,9.8,6.2,8.1,35,217
31,AUDI,A8,MID-SIZE,3.0,6,AS8,Premium Gasoline,13.1,8.8,11.2,25,258
32,AUDI,A8,MID-SIZE,4.0,8,AS8,Premium Gasoline,13.7,8.3,11.3,25,265
33,AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS8,Diesel,9.8,6.5,8.4,34,224
